Ticker,Date,Outstanding Shares
AAPL,2024-02-01 18:03:38-05:00,15441881000.0
MSFT,2023-10-24 16:07:40-04:00,7432262329.0
GOOGL,2024-01-30 21:43:43-05:00,5893000000.0
AMZN,2024-02-01 18:48:30-05:00,10387381291.0
META,2024-02-01 19:39:02-05:00,2200048907.0
IBM,2024-02-26 06:41:57-05:00,916744848.0
NVDA,2024-02-21 16:36:57-05:00,2500000000.0
BIDU,2024-03-15 06:09:54-04:00,2280411080.0
CRM,2024-03-06 16:32:48-05:00,970000000.0
TSLA,2023-01-30 21:29:15-05:00,3164102701.0
TWLO,2024-02-27 16:21:51-05:00,182060920.0
PLTR,2024-02-20 06:15:02-05:00,2110901985.0
AI,2024-02-28 20:26:51-05:00,118548799.0
INTC,2024-01-25 18:38:16-05:00,4228000000.0
QCOM,2024-01-31 16:10:22-05:00,1116000000.0
AMD,2024-01-31 17:16:39-05:00,1615786841.0
ORCL,2024-03-12 16:05:03-04:00,2748514000.0
SAP,2024-02-29 07:01:31-05:00,1228504232.0
SIEGY,2024-02-09,1600000000.0
HON,2024-02-16 13:40:36-05:00,652181812
GE,2024-02-02 06:31:30-05:00,1088334304
MU,2024-03-21 13:17:48-04:00,1107368110
ROBO,2024-02-29,22970000.0
PATH,2024-02-09,486560000.0
ZM,2024-02-09,260899999.99999997
DOCU,2024-02-09,203930000.0
SQ,2024-02-09,555180000.0
SHOP,2024-02-09,1210000000.0
SPLK,2024-02-09,168500000.0
TTD,2024-02-09,445020000.0
CRWD,2024-02-09,229380000.0
ZS,2024-02-09,149860000.0
SNOW,2024-02-09,334200000.0
FTNT,2024-02-09,763030000.0
ADSK,2024-02-09,213920000.0
ADBE,2024-02-09,448000000.0
ASML,2024-02-09,399580000.0
SNPS,2024-02-09,152540000.0
CDNS,2024-02-09,272600000.0
ANSS,2024-02-09,87020000.0
TER,2024-02-09,152970000.0
KYCCF,2024-02-09,185630000.0
OMRNY,2024-02-09,206240000.0
0020.HK,2024-02-09,25950000000.0
002230.SZ,2024-02-09,2320000000.0
